Pre-bleach_raw,Post-bleach_raw,Post-recovery_raw,,Pre-bleach_normalized,Post-bleach_normalized,Post-recovery_normalized
38.00000,170.00000,391.00000,,38.00000,170.00000,391.00000
312.00000,318.00000,375.00000,,312.00000,318.00000,375.00000
655.00000,419.00000,340.00000,,655.00000,419.00000,340.00000
815.00000,477.00000,415.00000,,815.00000,477.00000,415.00000
938.00000,440.00000,373.00000,,938.00000,440.00000,373.00000
834.00000,439.00000,356.00000,,834.00000,439.00000,356.00000
718.00000,494.00000,348.00000,,718.00000,494.00000,348.00000
830.00000,487.00000,382.00000,,830.00000,487.00000,382.00000
782.00000,496.00000,368.00000,,782.00000,496.00000,368.00000
777.00000,475.00000,295.00000,,777.00000,475.00000,295.00000
802.00000,518.00000,292.00000,,802.00000,518.00000,292.00000
813.00000,522.00000,308.00000,,813.00000,522.00000,308.00000
816.00000,483.00000,335.00000,,816.00000,483.00000,335.00000
822.00000,459.00000,295.00000,,822.00000,459.00000,295.00000
810.00000,407.00000,319.00000,,810.00000,407.00000,319.00000
829.00000,395.00000,354.00000,,829.00000,395.00000,354.00000
868.00000,390.00000,292.00000,,868.00000,390.00000,292.00000
769.00000,410.00000,244.00000,,769.00000,410.00000,244.00000
740.00000,404.00000,245.00000,,740.00000,404.00000,245.00000
767.00000,427.00000,286.00000,,767.00000,427.00000,286.00000
765.00000,408.00000,301.00000,,765.00000,408.00000,301.00000
730.00000,355.00000,321.00000,,730.00000,355.00000,321.00000
672.00000,368.00000,329.00000,,672.00000,368.00000,329.00000
625.00000,388.00000,331.00000,,625.00000,388.00000,331.00000
634.00000,391.00000,346.00000,,634.00000,391.00000,346.00000
720.00000,461.00000,401.00000,,720.00000,461.00000,401.00000
745.00000,449.00000,384.00000,,745.00000,449.00000,384.00000
818.00000,529.00000,312.00000,,818.00000,529.00000,312.00000
719.00000,510.00000,325.00000,,719.00000,510.00000,325.00000
787.00000,560.00000,292.00000,,787.00000,560.00000,292.00000
760.00000,578.00000,310.00000,,760.00000,578.00000,310.00000
774.00000,490.00000,355.00000,,774.00000,490.00000,355.00000
783.00000,399.00000,359.00000,,783.00000,399.00000,359.00000
791.00000,377.00000,382.00000,,791.00000,377.00000,382.00000
747.00000,394.00000,344.00000,,747.00000,394.00000,344.00000
738.00000,381.00000,347.00000,,738.00000,381.00000,347.00000
721.00000,425.00000,366.00000,,721.00000,425.00000,366.00000
709.00000,453.00000,299.00000,,709.00000,453.00000,299.00000
792.00000,452.00000,312.00000,,792.00000,452.00000,312.00000
768.00000,453.00000,329.00000,,768.00000,453.00000,329.00000
743.00000,361.00000,335.00000,,743.00000,361.00000,335.00000
726.00000,410.00000,297.00000,,726.00000,410.00000,297.00000
724.00000,341.00000,356.00000,,724.00000,341.00000,356.00000
824.00000,326.00000,367.00000,,824.00000,326.00000,367.00000
880.00000,301.00000,376.00000,,880.00000,301.00000,376.00000
738.00000,294.00000,355.00000,,738.00000,294.00000,355.00000
753.00000,316.00000,246.00000,,753.00000,316.00000,246.00000
823.00000,346.00000,287.00000,,823.00000,346.00000,287.00000
818.00000,368.00000,314.00000,,818.00000,368.00000,314.00000
824.00000,358.00000,332.00000,,824.00000,358.00000,332.00000
794.00000,328.00000,282.00000,,794.00000,328.00000,282.00000
824.00000,344.00000,317.00000,,824.00000,344.00000,317.00000
911.00000,294.00000,345.00000,,911.00000,294.00000,345.00000
832.00000,334.00000,369.00000,,832.00000,334.00000,369.00000
814.00000,388.00000,334.00000,,814.00000,388.00000,334.00000
762.00000,348.00000,336.00000,,762.00000,348.00000,336.00000
793.00000,319.00000,343.00000,,793.00000,319.00000,343.00000
793.00000,329.00000,334.00000,,793.00000,329.00000,334.00000
824.00000,376.00000,385.00000,,824.00000,376.00000,385.00000
882.00000,396.00000,385.00000,,882.00000,396.00000,385.00000
825.00000,342.00000,375.00000,,825.00000,342.00000,375.00000
891.00000,343.00000,344.00000,,891.00000,343.00000,344.00000
768.00000,307.00000,311.00000,,768.00000,307.00000,311.00000
743.00000,305.00000,278.00000,,743.00000,305.00000,278.00000
781.00000,331.00000,276.00000,,781.00000,331.00000,276.00000
808.00000,314.00000,319.00000,,808.00000,314.00000,319.00000
773.00000,365.00000,282.00000,,773.00000,365.00000,282.00000
763.00000,395.00000,310.00000,,763.00000,395.00000,310.00000
748.00000,342.00000,344.00000,,748.00000,342.00000,344.00000
744.00000,326.00000,362.00000,,744.00000,326.00000,362.00000
886.00000,295.00000,376.00000,,886.00000,295.00000,376.00000
916.00000,280.00000,361.00000,,916.00000,280.00000,361.00000
787.00000,264.00000,352.00000,,787.00000,264.00000,352.00000
891.00000,305.00000,337.00000,,891.00000,305.00000,337.00000
828.00000,372.00000,322.00000,,828.00000,372.00000,322.00000
850.00000,367.00000,329.00000,,850.00000,367.00000,329.00000
813.00000,296.00000,312.00000,,813.00000,296.00000,312.00000
746.00000,262.00000,313.00000,,746.00000,262.00000,313.00000
799.00000,241.00000,323.00000,,799.00000,241.00000,323.00000
776.00000,254.00000,276.00000,,776.00000,254.00000,276.00000
734.00000,273.00000,315.00000,,734.00000,273.00000,315.00000
696.00000,260.00000,274.00000,,696.00000,260.00000,274.00000
663.00000,238.00000,264.00000,,663.00000,238.00000,264.00000
647.00000,267.00000,264.00000,,647.00000,267.00000,264.00000
642.00000,280.00000,263.00000,,642.00000,280.00000,263.00000
612.00000,278.00000,314.00000,,612.00000,278.00000,314.00000
648.00000,276.00000,292.00000,,648.00000,276.00000,292.00000
677.00000,315.00000,202.00000,,677.00000,315.00000,202.00000
707.00000,387.00000,129.00000,,707.00000,387.00000,129.00000
788.00000,278.00000,85.00000,,788.00000,278.00000,85.00000
760.00000,219.00000,,,760.00000,219.00000,
727.00000,222.00000,,,727.00000,222.00000,
597.00000,212.00000,,,597.00000,212.00000,
424.00000,194.00000,,,424.00000,194.00000,
260.00000,151.00000,,,260.00000,151.00000,
,117.00000,,,,117.00000,
,24.00000,,,,24.00000,
