Frame,Time/min,Membrane_Raw_Intensity,mreb_Raw_Intensity,Membrane_Normalized_Intensity,mreb_Normalized_Intensity
1,0,29.94177449168207,122.74214417744916,1.0,1.0
2,5,0.6589648798521257,5.244916820702403,0.0,0.0
3,10,0.955637707948244,13.060998151571164,0.01013129655346547,0.06652141081710349
4,15,0.9214417744916821,13.812384473197781,0.00896351470773892,0.07291633892332378
5,20,0.7153419593345656,17.711645101663585,0.0019252619618734985,0.1061023188496995
6,25,0.8475046210720887,14.250462107208872,0.006438580987249082,0.07664474719189503
7,30,0.8410351201478743,21.01940850277264,0.006217649286706223,0.13425416102948115
8,35,0.7754158964879853,21.914048059149724,0.003976770609771494,0.14186829437120474
9,40,1.2245841035120149,22.29297597042514,0.019315742961747255,0.14509328886511658
10,45,0.6395563770794824,22.655268022181147,0.0,0.14817669823490545
11,50,0.9611829944547134,20.48706099815157,0.010320666582502207,0.12972343705754646
12,55,0.9510166358595195,21.940850277264325,0.009973488195934858,0.14209640373784727
